 Name                     Version    License                                                          
 Babel                    2.9.1      BSD License                                                      
 GitPython                3.1.27     BSD License                                                      
 Jinja2                   3.1.1      BSD License                                                      
 Markdown                 3.3.6      BSD License                                                      
 MarkupSafe               2.1.1      BSD License                                                      
 Pillow                   9.0.1      Historical Permission Notice and Disclaimer (HPND)               
 PyYAML                   6.0        MIT License                                                      
 Pygments                 2.11.2     BSD License                                                      
 Send2Trash               1.8.0      BSD License                                                      
 Werkzeug                 2.1.0      BSD License                                                      
 absl-py                  1.0.0      Apache Software License                                          
 aiohttp                  3.8.1      Apache Software License                                          
 aiosignal                1.2.0      Apache Software License                                          
 anyio                    3.5.0      MIT License                                                      
 argon2-cffi              21.3.0     MIT License                                                      
 argon2-cffi-bindings     21.2.0     MIT License                                                      
 astor                    0.8.1      BSD License                                                      
 asttokens                2.0.5      Apache 2.0                                                       
 async-timeout            4.0.2      Apache Software License                                          
 attrs                    21.4.0     MIT License                                                      
 autograd                 1.3        MIT License                                                      
 autograd-gamma           0.5.0      MIT License                                                      
 backcall                 0.2.0      BSD License                                                      
 beautifulsoup4           4.10.0     MIT License                                                      
 bleach                   4.1.0      Apache Software License                                          
 cachetools               5.0.0      MIT License                                                      
 certifi                  2021.10.8  Mozilla Public License 2.0 (MPL 2.0)                             
 cffi                     1.15.0     MIT License                                                      
 charset-normalizer       2.0.12     MIT License                                                      
 click                    8.1.0      BSD License                                                      
 condgen                  0.1.0      UNKNOWN                                                          
 cycler                   0.11.0     BSD License                                                      
 debugpy                  1.6.0      Eclipse Public License 2.0 (EPL-2.0); MIT License                
 decorator                5.1.1      BSD License                                                      
 defusedxml               0.7.1      Python Software Foundation License                               
 docker-pycreds           0.4.0      Apache Software License                                          
 entrypoints              0.4        MIT License                                                      
 executing                0.8.3      MIT License                                                      
 fonttools                4.31.2     MIT License                                                      
 formulaic                0.3.2      MIT License                                                      
 frozenlist               1.3.0      Apache Software License                                          
 fsspec                   2022.3.0   BSD License                                                      
 future                   0.18.2     MIT License                                                      
 gitdb                    4.0.9      BSD License                                                      
 google-auth              2.6.2      Apache Software License                                          
 google-auth-oauthlib     0.4.6      Apache Software License                                          
 grpcio                   1.45.0     Apache Software License                                          
 idna                     3.3        BSD License                                                      
 importlib-metadata       4.11.3     Apache Software License                                          
 interface-meta           1.2.5      MIT License                                                      
 ipdb                     0.13.9     BSD License                                                      
 ipykernel                6.11.0     BSD License                                                      
 ipython                  8.2.0      BSD License                                                      
 ipython-genutils         0.2.0      BSD License                                                      
 jedi                     0.18.1     MIT License                                                      
 joblib                   1.1.0      BSD License                                                      
 json5                    0.9.6      Apache Software License                                          
 jsonschema               4.4.0      MIT License                                                      
 jupyter-client           7.2.1      BSD License                                                      
 jupyter-core             4.9.2      BSD License                                                      
 jupyter-server           1.16.0     BSD License                                                      
 jupyterlab               3.3.2      BSD License                                                      
 jupyterlab-pygments      0.1.2      BSD                                                              
